------------------------------------------------------------
  STRESS TEST REPORT - 2026-02-21 15:49:50
  Target: http://localhost:6969   Workers: 40   Duration: 10.5s
------------------------------------------------------------
  ENDPOINT                             REQS   ERRS   ERR%
------------------------------------------------------------
  /anime/1029                             1      0   0.0%
  /anime/116                              1      0   0.0%
  /anime/12145                            1      0   0.0%
  /anime/12551                            1      0   0.0%
  /anime/13843                            1      0   0.0%
  /anime/18295                            1      0   0.0%
  /anime/1919                             1      0   0.0%
  /anime/19283                            1      0   0.0%
  /anime/21435                            1      0   0.0%
  /anime/21775                            1      0   0.0%
  /anime/22231                            1      0   0.0%
  /anime/22789                            1      0   0.0%
  /anime/25157                            1      0   0.0%
  /anime/2541                             1      0   0.0%
  /anime/3036                             1      0   0.0%
  /anime/3081                             1      0   0.0%
  /anime/33430                            1      0   0.0%
  /anime/34279                            1      0   0.0%
  /anime/3513                             1      0   0.0%
  /anime/3569                             1      0   0.0%
  /anime/37893                            1      0   0.0%
  /anime/3811                             1      0   0.0%
  /anime/38609                            1      0   0.0%
  /anime/38783                            1      0   0.0%
  /anime/38861                            1      0   0.0%
  /anime/39196                            1      0   0.0%
  /anime/41190                            1      0   0.0%
  /anime/42281                            1      0   0.0%
  /anime/44160                            1      0   0.0%
  /anime/44946                            1      0   0.0%
  /anime/45736                            1      0   0.0%
  /anime/45744                            1      0   0.0%
  /anime/46247                            1      0   0.0%
  /anime/46673                            1      0   0.0%
  /anime/47509                            1      0   0.0%
  /anime/48071                            1      0   0.0%
  /anime/48680                            1      0   0.0%
  /anime/49284                            1      0   0.0%
  /anime/49398                            1      0   0.0%
  /anime/49430                            1      0   0.0%
  /anime/4966                             1      0   0.0%
  /anime/5022                             1      0   0.0%
  /anime/51020                            1      0   0.0%
  /anime/51087                            1      0   0.0%
  /anime/51096                            1      0   0.0%
  /anime/51234                            1      0   0.0%
  /anime/5162                             1      0   0.0%
  /anime/51686                            1      0   0.0%
  /anime/52031                            1      0   0.0%
  /anime/52390                            1      0   0.0%
  /anime/52528                            1      0   0.0%
  /anime/53476                            1      0   0.0%
  /anime/53736                            1      0   0.0%
  /anime/53820                            1      0   0.0%
  /anime/54065                            1      0   0.0%
  /anime/54643                            1      0   0.0%
  /anime/54749                            1      0   0.0%
  /anime/54762                            1      0   0.0%
  /anime/55131                            1      0   0.0%
  /anime/56652                            1      0   0.0%
  /anime/5900                             1      0   0.0%
  /anime/59574                            1      0   0.0%
  /anime/59644                            1      0   0.0%
  /anime/60140                            1      0   0.0%
  /anime/6018                             1      0   0.0%
  /anime/614                              1      0   0.0%
  /anime/62630                            1      0   0.0%
  /anime/62738                            1      0   0.0%
  /anime/62775                            1      0   0.0%
  /anime/635                              1      0   0.0%
  /anime/66                               1      0   0.0%
  /anime/7004                             1      0   0.0%
  /anime/8553                             1      0   0.0%
  /anime/9177                             1      0   0.0%
  /anime/9939                             1      0   0.0%
  /anime/licensor/102                     2      0   0.0%
  /anime/licensor/1097                    1      0   0.0%
  /anime/licensor/1163                    1      0   0.0%
  /anime/licensor/1201                    1      0   0.0%
  /anime/licensor/1323                    1      0   0.0%
  /anime/licensor/1325                    1      0   0.0%
  /anime/licensor/1344                    3      0   0.0%
  /anime/licensor/1364                    1      0   0.0%
  /anime/licensor/1466                    2      0   0.0%
  /anime/licensor/1468                    1      0   0.0%
  /anime/licensor/1474                    1      0   0.0%
  /anime/licensor/1486                    2      0   0.0%
  /anime/licensor/15                      1      0   0.0%
  /anime/licensor/1571                    1      0   0.0%
  /anime/licensor/1696                    1      0   0.0%
  /anime/licensor/1704                    1      0   0.0%
  /anime/licensor/1786                    2      0   0.0%
  /anime/licensor/1889                    2      0   0.0%
  /anime/licensor/1994                    1      0   0.0%
  /anime/licensor/2261                    1      0   0.0%
  /anime/licensor/2262                    2      0   0.0%
  /anime/licensor/2263                    1      0   0.0%
  /anime/licensor/2278                    1      0   0.0%
  /anime/licensor/250                     1      0   0.0%
  /anime/licensor/2505                    1      0   0.0%
  /anime/licensor/2506                    2      0   0.0%
  /anime/licensor/252                     1      0   0.0%
  /anime/licensor/262                     1      0   0.0%
  /anime/licensor/270                     1      0   0.0%
  /anime/licensor/284                     2      0   0.0%
  /anime/licensor/296                     1      0   0.0%
  /anime/licensor/3003                    1      0   0.0%
  /anime/licensor/3051                    2      0   0.0%
  /anime/licensor/3095                    1      0   0.0%
  /anime/licensor/310                     1      0   0.0%
  /anime/licensor/3174                    1      0   0.0%
  /anime/licensor/376                     1      0   0.0%
  /anime/licensor/410                     2      0   0.0%
  /anime/licensor/417                     1      0   0.0%
  /anime/licensor/451                     1      0   0.0%
  /anime/licensor/483                     2      0   0.0%
  /anime/licensor/490                     2      0   0.0%
  /anime/licensor/499                     1      0   0.0%
  /anime/licensor/501                     3      0   0.0%
  /anime/licensor/573                     1      0   0.0%
  /anime/licensor/595                     1      0   0.0%
  /anime/licensor/61                      1      0   0.0%
  /anime/licensor/783                     1      0   0.0%
  /anime/licensor/791                     1      0   0.0%
  /anime/licensor/85                      1      0   0.0%
  /anime/licensor/947                     1      0   0.0%
  /anime/producer/1209                    1      0   0.0%
  /anime/producer/1225                    1      0   0.0%
  /anime/producer/129                     1      0   0.0%
  /anime/producer/1300                    1      0   0.0%
  /anime/producer/1316                    1      0   0.0%
  /anime/producer/1322                    1      0   0.0%
  /anime/producer/133                     1      0   0.0%
  /anime/producer/1341                    1      0   0.0%
  /anime/producer/1351                    1      0   0.0%
  /anime/producer/1379                    1      0   0.0%
  /anime/producer/1386                    1      0   0.0%
  /anime/producer/1401                    1      0   0.0%
  /anime/producer/1406                    1      0   0.0%
  /anime/producer/1416                    1      0   0.0%
  /anime/producer/144                     1      0   0.0%
  /anime/producer/1468                    1      0   0.0%
  /anime/producer/1472                    1      0   0.0%
  /anime/producer/1477                    1      0   0.0%
  /anime/producer/1492                    1      0   0.0%
  /anime/producer/1588                    1      0   0.0%
  /anime/producer/1592                    1      0   0.0%
  /anime/producer/1600                    1      0   0.0%
  /anime/producer/1603                    1      0   0.0%
  /anime/producer/1611                    1      0   0.0%
  /anime/producer/1612                    1      0   0.0%
  /anime/producer/1768                    1      0   0.0%
  /anime/producer/1824                    1      0   0.0%
  /anime/producer/183                     1      0   0.0%
  /anime/producer/1843                    2      0   0.0%
  /anime/producer/1938                    1      0   0.0%
  /anime/producer/2052                    1      0   0.0%
  /anime/producer/2072                    1      0   0.0%
  /anime/producer/2077                    1      0   0.0%
  /anime/producer/2103                    1      0   0.0%
  /anime/producer/2106                    1      0   0.0%
  /anime/producer/2186                    1      0   0.0%
  /anime/producer/2197                    1      0   0.0%
  /anime/producer/2279                    1      0   0.0%
  /anime/producer/238                     1      0   0.0%
  /anime/producer/2395                    1      0   0.0%
  /anime/producer/2445                    1      0   0.0%
  /anime/producer/2463                    1      0   0.0%
  /anime/producer/2469                    1      0   0.0%
  /anime/producer/2470                    1      0   0.0%
  /anime/producer/2473                    1      0   0.0%
  /anime/producer/2574                    1      0   0.0%
  /anime/producer/2594                    1      0   0.0%
  /anime/producer/2618                    1      0   0.0%
  /anime/producer/2637                    1      0   0.0%
  /anime/producer/266                     1      0   0.0%
  /anime/producer/2708                    1      0   0.0%
  /anime/producer/2717                    1      0   0.0%
  /anime/producer/2719                    1      0   0.0%
  /anime/producer/2752                    1      0   0.0%
  /anime/producer/2771                    1      0   0.0%
  /anime/producer/2779                    1      0   0.0%
  /anime/producer/279                     1      0   0.0%
  /anime/producer/2905                    1      0   0.0%
  /anime/producer/294                     1      0   0.0%
  /anime/producer/2963                    1      0   0.0%
  /anime/producer/319                     1      0   0.0%
  /anime/producer/342                     1      0   0.0%
  /anime/producer/442                     1      0   0.0%
  /anime/producer/535                     1      0   0.0%
  /anime/producer/577                     1      0   0.0%
  /anime/producer/709                     1      0   0.0%
  /anime/producer/773                     1      0   0.0%
  /anime/producer/775                     1      0   0.0%
  /anime/producer/79                      1      0   0.0%
  /anime/producer/870                     1      0   0.0%
  /anime/producer/913                     1      0   0.0%
  /anime/random                          76      0   0.0%
  /anime/search                          62      0   0.0%
  /anime/seasonal                        65      1   1.5%
  /anime/studio/1169                      1      0   0.0%
  /anime/studio/120                       1      0   0.0%
  /anime/studio/1239                      1      0   0.0%
  /anime/studio/1257                      1      0   0.0%
  /anime/studio/1259                      1      0   0.0%
  /anime/studio/1276                      1      0   0.0%
  /anime/studio/1328                      1      0   0.0%
  /anime/studio/1362                      1      0   0.0%
  /anime/studio/1365                      1      0   0.0%
  /anime/studio/1368                      1      0   0.0%
  /anime/studio/1399                      1      0   0.0%
  /anime/studio/141                       1      0   0.0%
  /anime/studio/1419                      1      0   0.0%
  /anime/studio/1436                      1      0   0.0%
  /anime/studio/1440                      1      0   0.0%
  /anime/studio/1454                      1      0   0.0%
  /anime/studio/1476                      1      0   0.0%
  /anime/studio/1527                      1      0   0.0%
  /anime/studio/1558                      1      0   0.0%
  /anime/studio/1573                      1      0   0.0%
  /anime/studio/1639                      1      0   0.0%
  /anime/studio/1678                      1      0   0.0%
  /anime/studio/1774                      1      0   0.0%
  /anime/studio/1836                      1      0   0.0%
  /anime/studio/1839                      1      0   0.0%
  /anime/studio/192                       1      0   0.0%
  /anime/studio/1951                      1      0   0.0%
  /anime/studio/2022                      1      0   0.0%
  /anime/studio/2027                      1      0   0.0%
  /anime/studio/2056                      1      0   0.0%
  /anime/studio/2079                      1      0   0.0%
  /anime/studio/2091                      1      0   0.0%
  /anime/studio/2194                      1      0   0.0%
  /anime/studio/2361                      1      0   0.0%
  /anime/studio/2403                      1      0   0.0%
  /anime/studio/2439                      1      0   0.0%
  /anime/studio/2490                      1      0   0.0%
  /anime/studio/2541                      1      0   0.0%
  /anime/studio/2674                      1      0   0.0%
  /anime/studio/2694                      1      0   0.0%
  /anime/studio/2705                      1      0   0.0%
  /anime/studio/2713                      1      0   0.0%
  /anime/studio/276                       1      0   0.0%
  /anime/studio/2767                      1      0   0.0%
  /anime/studio/2787                      1      0   0.0%
  /anime/studio/2842                      1      0   0.0%
  /anime/studio/2864                      1      0   0.0%
  /anime/studio/288                       1      0   0.0%
  /anime/studio/2907                      1      0   0.0%
  /anime/studio/3129                      1      0   0.0%
  /anime/studio/3251                      1      0   0.0%
  /anime/studio/34                        1      0   0.0%
  /anime/studio/346                       1      0   0.0%
  /anime/studio/379                       1      0   0.0%
  /anime/studio/404                       1      0   0.0%
  /anime/studio/439                       1      0   0.0%
  /anime/studio/443                       1      0   0.0%
  /anime/studio/67                        1      0   0.0%
  /anime/studio/909                       1      0   0.0%
  /anime/tags/1                           1      0   0.0%
  /anime/tags/11                          1      0   0.0%
  /anime/tags/12                          2      0   0.0%
  /anime/tags/14                          1      0   0.0%
  /anime/tags/15                          1      0   0.0%
  /anime/tags/17                          1      0   0.0%
  /anime/tags/19                          2      0   0.0%
  /anime/tags/21                          1      0   0.0%
  /anime/tags/22                          1      0   0.0%
  /anime/tags/23                          1      0   0.0%
  /anime/tags/24                          1      0   0.0%
  /anime/tags/27                          2      0   0.0%
  /anime/tags/29                          1      0   0.0%
  /anime/tags/32                          1      0   0.0%
  /anime/tags/36                          1      0   0.0%
  /anime/tags/38                          1      0   0.0%
  /anime/tags/39                          1      0   0.0%
  /anime/tags/40                          1      0   0.0%
  /anime/tags/46                          2      0   0.0%
  /anime/tags/47                          1      0   0.0%
  /anime/tags/48                          1      0   0.0%
  /anime/tags/5                           1      0   0.0%
  /anime/tags/50                          2      0   0.0%
  /anime/tags/52                          1      0   0.0%
  /anime/tags/55                          1      0   0.0%
  /anime/tags/56                          1      0   0.0%
  /anime/tags/57                          1      0   0.0%
  /anime/tags/6                           2      0   0.0%
  /anime/tags/60                          2      0   0.0%
  /anime/tags/64                          1      0   0.0%
  /anime/tags/67                          1      0   0.0%
  /anime/tags/69                          2      0   0.0%
  /anime/tags/7                           1      0   0.0%
  /anime/tags/71                          1      0   0.0%
  /anime/tags/73                          1      0   0.0%
  /anime/tags/76                          2      0   0.0%
  /anime/tags/77                          1      0   0.0%
  /anime/tags/79                          1      0   0.0%
  /anime/tags/80                          1      0   0.0%
  /anime/tags/81                          2      0   0.0%
  /anime/tags/82                          1      0   0.0%
------------------------------------------------------------
  TOTAL                                 527      1  0.2%
  Throughput: 50.0 req/s
------------------------------------------------------------
