------------------------------------------------------------
  STRESS TEST REPORT - 2026-02-21 23:31:52
  Target: http://localhost:6969   Workers: 10   Duration: 10.3s
------------------------------------------------------------
  ENDPOINT                             REQS   ERRS   ERR%
  /anime/studio/2551                      1      0   0.0%
  /anime/studio/2641                      1      0   0.0%
  /anime/studio/265                       1      0   0.0%
  /anime/studio/2713                      1      0   0.0%
  /anime/studio/2774                      1      0   0.0%
  /anime/studio/2844                      1      0   0.0%
  /anime/studio/2880                      1      0   0.0%
  /anime/studio/2967                      1      0   0.0%
  /anime/studio/2972                      1      0   0.0%
  /anime/studio/3187                      1      0   0.0%
  /anime/studio/3205                      1      0   0.0%
  /anime/studio/3255                      1      0   0.0%
  /anime/studio/364                       1      0   0.0%
  /anime/studio/409                       1      0   0.0%
  /anime/studio/477                       1      0   0.0%
  /anime/studio/69                        1      0   0.0%
  /anime/studio/77                        1      0   0.0%
  /anime/studio/951                       1      0   0.0%
  /anime/tags/10                          1      0   0.0%
  /anime/tags/11                          1      0   0.0%
  /anime/tags/15                          1      0   0.0%
  /anime/tags/18                          3      0   0.0%
  /anime/tags/19                          1      0   0.0%
  /anime/tags/20                          1      0   0.0%
  /anime/tags/22                          1      0   0.0%
  /anime/tags/23                          1      0   0.0%
  /anime/tags/24                          1      0   0.0%
  /anime/tags/25                          3      0   0.0%
  /anime/tags/27                          3      0   0.0%
  /anime/tags/28                          1      0   0.0%
  /anime/tags/30                          2      0   0.0%
  /anime/tags/31                          1      0   0.0%
  /anime/tags/32                          1      0   0.0%
  /anime/tags/35                          1      0   0.0%
  /anime/tags/36                          2      0   0.0%
  /anime/tags/38                          2      0   0.0%
  /anime/tags/39                          3      0   0.0%
  /anime/tags/4                           1      0   0.0%
  /anime/tags/41                          1      0   0.0%
  /anime/tags/42                          2      0   0.0%
  /anime/tags/46                          3      0   0.0%
  /anime/tags/47                          1      0   0.0%
  /anime/tags/48                          1      0   0.0%
  /anime/tags/50                          1      0   0.0%
  /anime/tags/52                          2      0   0.0%
  /anime/tags/56                          1      0   0.0%
  /anime/tags/58                          1      0   0.0%
  /anime/tags/59                          1      0   0.0%
  /anime/tags/60                          1      0   0.0%
  /anime/tags/61                          1      0   0.0%
  /anime/tags/7                           1      0   0.0%
  /anime/tags/70                          1      0   0.0%
  /anime/tags/78                          1      0   0.0%
  /anime/tags/81                          1      0   0.0%
  /anime/tags/9                           2      0   0.0%
------------------------------------------------------------
  TOTAL                                 375      0  0.0%
  Throughput: 36.2 req/s
------------------------------------------------------------
